time,throughput,accJitter,meanJitter,lostPackets
0,-nan,-nan,-nan,0
0.2,0,0,-nan,0
0.4,0,0,-nan,0
0.6,0,0,-nan,0
0.8,0,0,-nan,0
1,0,0,-nan,0
1.2,6.73759,0,-nan,0
1.4,6.73759,0,-nan,0
1.6,6.73759,0,-nan,0
1.8,6.73759,0,-nan,0
2,6.73759,0,-nan,0
2.2,7.04392,0.006925,-nan,0
2.4,7.04392,0.006925,-nan,0
2.6,7.04392,0.006925,-nan,0
2.8,7.04392,0.006925,-nan,0
3,7.04392,0.006925,-nan,0
3.2,7.01926,0.01445,-nan,0
3.4,7.01926,0.01445,-nan,0
3.6,7.01926,0.01445,-nan,0
3.8,7.01926,0.01445,-nan,0
4,7.01926,0.01445,-nan,0
4.2,7.06165,0.022525,-nan,0
4.4,7.06165,0.022525,-nan,0
4.6,7.06165,0.022525,-nan,0
4.8,7.06165,0.022525,-nan,0
5,7.06165,0.022525,-nan,0
5.2,7.02684,0.030075,-nan,0
5.4,7.02684,0.030075,-nan,0
5.6,7.02684,0.030075,-nan,0
5.8,7.02684,0.030075,-nan,0
6,7.02684,0.030075,-nan,0
6.2,7.0838,0.039525,-nan,0
